"#","RefDes","Value","Name","Part","Quantity"
"1","C1","10n","CAP_0201","GRM033R71E103KE14D","1"
"2","C2","100n","CAP_0201","GRM033R61A104ME15D","1"
"3","C3","100n","CAP_0201","GRM033R61A104ME15D","1"
"4","C4","10n","CAP_0402","GRM033R71E103KE14D","1"
"5","C5","100n","CAP_0201","GRM033R61A104ME15D","1"
"6","C6","100n","CAP_0201","GRM033R61A104ME15D","1"
"7","C7","33p","CAP_0201","GRM0335C1H330JA01D","1"
"8","C8","100n","CAP_0201","GRM033R61A104ME15D","1"
"9","C9","33p","CAP_0201","GRM0335C1H330JA01D","1"
"10","C10","33p","CAP_0201","GRM0335C1H330JA01D","1"
"11","C11","33p","CAP_0201","GRM0335C1H330JA01D","1"
"12","C12","4.7p","CAP_0201","GRM0335C1H4R7CA01D","1"
"13","C13","4.7p","CAP_0201","GRM0335C1H4R7CA01D","1"
"14","C14","100n","CAP_0201","GRM033R61A104ME15D","1"
"15","C15","1n","CAP_0201","GRM0335C1E102FA01D","1"
"16","C16","2.2u","CAP_0402","Part 1","1"
"17","C17","1.0u","CAP_0201","GRM033R60J105MEA2D","1"
"18","C18","47n","CAP_0201","GRM033R61C473KE84D","1"
"19","C19","68p","CAP_0201","GRM0335C1H680JA01D","1"
"20","C20","47n","CAP_0201","GRM033R61C473KE84D","1"
"21","C21","68p","CAP_0201","GRM0335C1H680JA01D","1"
"22","C22","1.8p","CAP_0201","GJM0335C1H1R8BB01D?","1"
"23","C23","2.4p","CAP_0402","GJM1555C1H2R4BB01D","1"
"24","C24","No Stuff","CAP_0201","Part 1","1"
"25","C25","3.0p","CAP_0201","GJM0335C1H3R0BB01D","1"
"26","C26","5.6p","CAP_0201","GJM0335C1H5R6CB01D","1"
"27","C27","39p","CAP_0201","GJM1555C1H390JB01D","1"
"28","C28","1.8p","CAP_0201","GJM0335C1H1R8BB01D","1"
"29","C29","3.0p","CAP_0201","GJM0335C1H3R0BB01D","1"
"30","C30","5.6p","CAP_0201","GJM0335C1H5R6CB01D","1"
"31","C31","39p","CAP_0201","GJM1555C1H390JB01D","1"
"32","C32","1.8p","CAP_0201","GJM0335C1H1R8BB01D","1"
"33","F3","","HTLoRa-Module","Part 1","1"
"34","L1","15n","IND_0402","LQW15AN15NH00D","1"
"35","L2","47n","IND_0402","Part 1","1"
"36","L3","2.5n","IND_0201","LQP03HQ2N5C02D","1"
"37","L4","4.7n","IND_0201","LQP03HQ4N7J02D","1"
"38","L5","47n","IND_0402","Part 1","1"
"39","L6","2.5n","IND_0201","LQP03HQ2N5C02D","1"
"40","L7","4.7n","IND_0201","LQP03HQ4N7J02D","1"
"41","R1","100k","RES_0201","Part 1","1"
"42","R2","100k","RES_0201","Part 1","1"
"43","U1","","STM32WLE5Jx","Part 1","1"
"44","U2","","SKY13373-460LF","Part 1","1"
"45","U3","","LP5907 XSON-4","Part 1","1"
"46","X1","32.768k","12SMXA","Part 1","1"
"47","X2a","32M","SMD4-2.0x1.6","Part 1","1"
"48","X2b","32 MHz","TY Type (TCXO)","TXKTPCSANF-32.000000","1"
"","","","","","48"
