RefDes;Name;Pattern;X (mm);Y (mm);Side;Rotate;Value
C1;CAP_0402;RES_0201;2.24;10.52;Top;90;1n
C2;CAP_0402;RES_0201;0.96;5.69;Top;90;100n
C4;CAP_0402;RES_0201;0.96;4.51;Top;90;10n
C5;CAP_0402;RES_0201;0.96;3.29;Top;270;100n
C6;CAP_0402;RES_0201;5.19;0.92;Top;0;100n
C7;CAP_0402;RES_0201;3.53;6.92;Top;180;100n
C9;CAP_0402;RES_0201;0.96;2.05;Top;270;100n
C10;CAP_0402;RES_0201;1.53;0.92;Top;180;100n
C11;CAP_0402;RES_0201;2.81;0.92;Top;0;100n
C12;CAP_0402;RES_0201;1.9;9.6;Top;180;5p
C13;CAP_0402;RES_0201;2.01;6.92;Top;180;5p
C14;CAP_0402;RES_0201;6.6;10.63;Top;90;100n
C15;CAP_0402;RES_0201;3.8;8.44;Top;0;np
C18;CAP_0402;RES_0201;7.35;9.64;Top;180;100n
C19;CAP_0402;RES_0201;7.35;9.04;Top;180;1n
C20;CAP_0402;RES_0201;5.43;6.92;Top;0;10n
C21;CAP_0402;RES_0201;5.43;8.44;Top;0;5p
C22;CAP_0402;RES_0201;8.342;4.189;Top;90;5p
C23;CAP_0402;RES_0201;9.2;1.92;Top;180;5p
C24;CAP_0402;RES_0201;10.67;1.92;Top;0;5p
C25;CAP_0402;RES_0201;8.39;7.84;Top;0;5p
C26;CAP_0402;RES_0201;9.52;8.19;Top;90;5p
C27;CAP_0402;RES_0201;9.83;7.28;Top;0;5p
C28;CAP_0402;RES_0201;10.99;5.6;Top;0;5p
C29;CAP_0402;RES_0201;7.287;6;Top;180;5p
C30;CAP_0402;RES_0201;8.223;6.3;Top;90;5p
C31;CAP_0402;RES_0201;8.4;5.45;Top;0;5p
C32;CAP_0402;RES_0201;9.839;6.3;Top;90;5p
L1;IND_0201;IND_0201;7.988;3.363;Top;180;
L2;IND_0402;IND_0402;7.28;7.88;Top;270;
L3;IND_0201;IND_0201;8.43;7.24;Top;0;
L4;IND_0201;IND_0201;10.68;6.53;Top;270;
L5;IND_0402;IND_0402;5.48;7.68;Top;0;
L6;IND_0201;IND_0201;7.25;5.45;Top;0;
L7;IND_0201;IND_0201;9.5;5.45;Top;0;
R1;RES_0402;RES_0201;1.6;10.52;Top;90;100k
R2;RES_0402;RES_0201;3.8;7.76;Top;180;Nk
U1;STM32WLE5Jx;UFBGA73-STM32WL;4;3.95;Top;90;
U2;SKY13373-460LF;SKY13373-460LF;10.18;3.75;Top;270;
U3;LP5907 XSON-4;DQN0004A (X2SON4);8.634;9.186;Top;90;
C16;CAP_0402;CAP_0402;9.2;10.6;Top;0;100n
C17;CAP_0402;RES_0201;7.66;10.63;Top;90;1u
X1;SMD2-1.6x1.0;SMD2-1.6x1.0;1.92;8.28;Top;90;32.768k
X2;SMD4-2.5x2.0;SMD4-2.5x2.0;4.65;10;Top;180;32 MHz
